co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
NWFB,701R,香港體育館,Hong Kong Coliseum,蘇屋,So Uk,香港体育馆,苏屋,2020-05-22T05:00:02+08:00
NWFB,701S,海麗邨／南昌站,Hoi Lai Estate / Nam Cheong Station,旺角,Mong Kok,海丽邨／南昌站,旺角,2020-05-22T05:00:02+08:00
NWFB,702,海麗邨／南昌站,Hoi Lai Estate / Nam Cheong Station,九龍塘 (又一城),Kowloon Tong (Festival Walk),海丽邨／南昌站,九龙塘 (又一城),2020-05-22T05:00:02+08:00
NWFB,702A,海麗邨,Hoi Lai Estate,白田邨,Pak Tin Estate,海丽邨,白田邨,2020-05-22T05:00:02+08:00
NWFB,702S,蘇屋邨,So Uk Estate,長沙灣 (深盛路)／富昌邨,Cheung Sha Wan (Sham Shing Road) / Fu Cheong Estate,苏屋邨,长沙湾 (深盛路)／富昌邨,2020-05-22T05:00:02+08:00
NWFB,720,嘉亨灣,Grand Promenade,中環 (港澳碼頭 / 機利文街),Central (Macau Ferry / Gilman Street),嘉亨湾,中环 (港澳码头 / 机利文街),2020-05-22T05:00:02+08:00
NWFB,720A,嘉亨灣,Grand Promenade,金鐘 (政府總部),Admiralty (Central Government Office),嘉亨湾,金钟 (政府总部),2020-05-22T05:00:02+08:00
NWFB,720P,太古城,Taikoo Shing,中環 (機利文街),Central (Gilman Street),太古城,中环 (机利文街),2020-05-22T05:00:02+08:00
NWFB,720X,嘉亨灣,Grand Promenade,中環(林士街),Central (Rumsey Street),嘉亨湾,中环(林士街),2020-05-22T05:00:02+08:00
NWFB,722,耀東邨,Yiu Tung Estate,中環碼頭,Central (Ferry Piers),耀东邨,中环码头,2020-05-22T05:00:02+08:00
NWFB,78,黃竹坑,Wong Chuk Hang,華貴邨,Wah Kwai Estate,黄竹坑,华贵邨,2020-05-22T05:00:02+08:00
NWFB,792M,將軍澳站,Tseung Kwan O Station,西貢,Sai Kung,将军澳站,西贡,2020-05-22T05:00:02+08:00
NWFB,796C,清水灣半島,Oscar by the Sea,蘇屋,So Uk,清水湾半岛,苏屋,2020-05-22T05:00:02+08:00
NWFB,796E,將軍澳工業邨,Tseung Kwan O Industrial Estate,蘇屋,So Uk,将军澳工业邨,苏屋,2020-05-22T05:00:02+08:00
NWFB,796P,日出康城,Lohas Park,尖沙咀(東),Tsim Sha Tsui (East),日出康城,尖沙咀(东),2020-05-22T05:00:02+08:00
NWFB,796R,香港體育館,Hong Kong Coliseum,日出康城,Lohas Park,香港体育馆,日出康城,2020-05-22T05:00:02+08:00
