co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
CTB,R307,大埔 (汀太路),Tai Po (Ting Tai Road),銅鑼灣 (維多利亞公園),Causeway Bay (Victoria Park),大埔 (汀太路),铜锣湾 (维多利亚公园),2020-05-22T05:00:02+08:00
CTB,R678,上水,Sheung Shui,銅鑼灣 (維多利亞公園),Causeway Bay (Victoria Park),上水,铜锣湾 (维多利亚公园),2020-05-22T05:00:02+08:00
CTB,R8,迪士尼樂園,Disneyland,青嶼幹線繳費廣場,Lantau Link Toll Plaza,迪士尼乐园,青屿干线缴费广场,2020-05-22T05:00:02+08:00
CTB,R930,荃灣 (愉景新城),Tsuen Wan (Discovery Park),銅鑼灣 (維多利亞公園),Causeway Bay (Victoria Park),荃湾 (愉景新城),铜锣湾 (维多利亚公园),2020-05-22T05:00:02+08:00
CTB,R962,屯門 (龍門居),Tuen Mun (Lung Mun Oasis),銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),屯门 (龙门居),铜锣湾 (摩顿台),2020-05-22T05:00:02+08:00
CTB,R969,天水圍市中心,Tin Shui Wai Town Centre,銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),天水围市中心,铜锣湾 (摩顿台),2020-05-22T05:00:02+08:00
CTB,S1,東涌站,Tung Chung Station,機場 (一號客運大樓／博覽館),Airport (Passenger Terminal 1 / AsiaWorld-Expo),东涌站,机场 (一号客运大楼／博览馆),2020-05-22T05:00:02+08:00
CTB,S52,東涌 (逸東邨),Tung Chung (Yat Tung Estate),飛機維修區,Aircraft Maintenance Area,东涌 (逸东邨),飞机维修区,2020-05-22T05:00:02+08:00
CTB,S52A,東涌北,Tung Chung North,飛機維修區,Aircraft Maintenance Area,东涌北,飞机维修区,2020-05-22T05:00:02+08:00
CTB,S52P,東涌 (逸東邨),Tung Chung (Yat Tung Estate),駿坪路 (亞洲空運中心),Chun Ping Road (Asia Airfreight Terminal),东涌 (逸东邨),骏坪路 (亚洲空运中心),2020-05-22T05:00:02+08:00
CTB,S56,東涌站,Tung Chung Station,機場 (一號客運大樓),Airport (Passenger Terminal 1),东涌站,机场 (一号客运大楼),2020-05-22T05:00:02+08:00
CTB,W1,金鐘(西),Admiralty (West),高鐵西九龍站,High Speed Rail West Kowloon Station,金钟(西),高铁西九龙站,2020-05-22T05:00:02+08:00
CTB,X1,東涌站,Tung Chung Station,機場博覽館,AsiaWorld-Expo,东涌站,机场博览馆,2020-05-22T05:00:02+08:00
CTB,X962,中環 (香港站),Central (Hong Kong Station),屯門 (龍門居),Tuen Mun (Lung Mun Oasis),中环 (香港站),屯门 (龙门居),2020-05-22T05:00:02+08:00
